Mods count: 104
 
                                jar name                                  |    notes     |            mod id            |                 mod name                 |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
lithiccoinstrading-1.20.1-forge-1.0.1.jar                                 |              | lithiccoinstrading           | Lithic Coins for Trading                 | 1.0.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | e89e5e34def712c9007e3fad597bbe7835aa015b | 1041527924     
map_atlases-1.20-6.0.20.jar                                               |              | map_atlases                  | Map Atlases                              | 1.20-6.0.20                  | map_atlases.mixins.json, map_atlases-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | d20b4bde9d5c75eaa99c430aff78840ecb145fb1 | 3079913457     
mcw-bridges-3.1.2-mc1.20.1forge.jar                                       |              | mcwbridges                   | Macaw's Bridges                          | 3.1.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 24f30313977ec61520a2adab321188b51c208d16 | 1812838180     
mcw-furniture-3.4.1-mc1.20.1forge.jar                                     |              | mcwfurnitures                | Macaw's Furniture                        | 3.4.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | c05189646bbde5c0d4486b93de0d707115f8445c | 3002367686     
mcw-mcwfences-1.2.1-mc1.20.1forge.jar                                     |              | mcwfences                    | Macaw's Fences and Walls                 | 1.2.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | d24bc6e1ba7f04e058db019ae5ca3d10edd9510a | 2042722927     
mcw-roofs-2.3.2-mc1.20.1forge.jar                                         |              | mcwroofs                     | Macaw's Roofs                            | 2.3.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2b02beb2bd177aa695dc6fc030fc3bb230ca96b1 | 2960892629     
mcw_tfc_aio-0.2.30-1.20.1.jar                                             |              | mcw_tfc_aio                  | Macaw's All-In-One for TFC               | 0.2.30-1.20.1                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 8a1f70ddd044142d4fa110fcb8dbd419565984a1 | 1304754550     
melody_forge_1.0.3_MC_1.20.1-1.20.4.jar                                   |              | melody                       | Melody                                   | 1.0.2                        | melody.forge.mixins.json, melody.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | e0942d396a70c09038e6c2e5e1da6505178249b8 | 841420877      
modernfix-forge-5.27.40+mc1.20.1.jar                                      |              | modernfix                    | ModernFix                                | 5.27.40+mc1.20.1             | modernfix-modernfix.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | d1bb6bac6255b657a6c4b3bfb25135806e2eed3e | 3335812768     
moonlight-1.20-2.16.32-forge.jar                                          |              | moonlight                    | Moonlight Library                        | 1.20-2.16.32                 | moonlight.mixins.json, moonlight-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | ddd76b693abea485bf450bb4f0b8121a863eaba0 | 163448434      
MouseTweaks-forge-mc1.20.1-2.25.1.jar                                     |              | mousetweaks                  | Mouse Tweaks                             | 2.25.1                       | mousetweaks-fabric.mixins.json, mousetweaks.mixins.refmap.json, mousetweaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | d751153e722a4e014691c83f39f5b07c6ec5333c | 3001740257     
NoNametags.jar                                                            |              | nonametags                   | No Nametags                              | 1.0                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 97481566aeda800fde1e3a83cfdb3e63d37821f9 | 1234455675     
